Measurement,Time
0,0.002434
1,0.024079
2,2.595367
3,1.858981
4,1.985287
5,1.970817
6,1.989313
7,1.833676
8,1.962951
9,1.994584
10,1.959855
11,1.847284
12,1.963144
13,1.999317
14,1.993642
15,1.853993
16,1.95093
17,1.995975
18,2.000418
19,1.847943
20,1.976858
21,1.991148
22,2.006747
23,1.841773
24,1.962664
25,2.009506
26,1.992796
27,1.844408
28,1.971569
29,1.99632
30,1.990057
31,1.863767
32,1.965136
33,1.978648
34,1.992559
35,1.854799
36,1.978877
37,1.990389
38,2.000215
39,1.848005
40,1.974554
41,1.990209
42,2.001584
43,1.855711
44,1.964681
45,1.992239
46,2.000085
47,1.900141
48,1.949817
49,1.997658
50,2.001399
51,1.806531
52,2.047889
53,1.981086
54,2.035927
55,1.85464
56,1.984302
57,1.963045
58,2.025239
59,1.806257
60,2.013619
61,1.962949
62,2.021358
63,1.925701
64,1.957991
65,1.929816
66,2.013864
67,1.837805
68,2.010932
69,1.947599
70,2.051286
71,1.832928
72,1.981242
73,1.991217
74,1.994423
75,1.838597
76,1.986097
77,1.903642
78,2.107285
79,1.867423
80,1.962181
81,1.997899
82,1.997474
83,1.860574
84,1.951451
85,2.006615
86,1.980819
87,1.758357
88,1.959634
89,2.0189
90,1.979624
91,1.864671
92,1.911164
93,2.041312
94,1.994848
95,1.85193
96,1.965895
97,1.99871
98,1.993827
99,1.881987
100,1.910276
101,1.996402
102,2.031833
103,1.86131
104,1.943231
105,2.035739
106,1.99417
107,1.846103
108,1.967961
109,2.002544
110,1.989035
111,1.892623
112,1.969294
113,2.001676
114,1.993535
115,1.84007
116,1.971432
117,2.008765
118,1.941645
119,1.817926
120,1.978693
121,1.977229
122,1.989293
123,1.821696
124,1.989395
125,1.974324
126,2.052361
127,1.822423
128,1.964542
129,1.989118
130,1.998581
131,1.767497
132,1.971091
133,1.991735
134,1.993569
135,1.882216
136,1.978423
137,2.007392
138,1.992812
139,1.81676
140,1.979716
141,1.961562
142,1.968214
143,1.858228
144,2.015094
145,1.923921
146,2.020646
147,1.859561
148,2.079375
149,1.872152
150,1.981565
151,1.843063
152,2.009147
153,1.992299
154,1.934026
155,1.871028
156,1.915025
157,2.013695
158,1.991113
159,1.857899
160,1.934904
161,1.999499
162,2.150937
163,1.833738
164,1.979688
165,1.975568
166,2.007543
167,1.846798
168,1.96832
169,1.99461
170,1.993118
171,1.84799
172,1.97397
173,1.986508
174,1.99313
175,1.854321
176,1.966127
177,2.001922
178,1.99561
179,1.808205
180,2.0049
181,1.965415
182,2.001387
183,1.862686
184,1.970055
185,1.989665
186,1.99128
187,1.801936
188,2.039856
189,2.007005
190,1.992856
191,1.871406
192,1.97434
193,1.979078
194,1.993555
195,1.85175
196,1.98798
197,1.978478
198,2.007738
199,1.828902
200,1.971264
201,1.991627
202,1.993537
203,1.84871
204,1.971809
205,1.998517
206,1.999304
207,1.889082
208,1.979763
209,1.950256
210,2.031376
211,1.833343
212,1.989362
213,2.010453
214,1.978682
215,1.819736
216,2.003296
217,1.990481
218,1.999644
219,1.850648
220,1.925976
221,2.040365
222,1.999233
223,1.76628
224,1.977578
225,2.013047
226,1.961251
227,1.812302
228,1.970267
229,2.002029
230,1.977054
231,1.808974
232,1.958929
233,1.988721
234,1.996525
235,1.851965
236,1.930897
237,1.995483
238,1.988209
239,1.856487
240,1.960397
241,2.003369
242,2.001152
243,1.803953
244,2.020661
245,1.986374
246,1.99699
247,1.845657
248,1.982285
249,2.010059
250,1.978188
251,1.855916
252,1.953658
253,2.004333
254,2.002323
255,1.846243
256,1.974883
257,1.993521
258,2.010819
259,1.853693
260,1.97409
261,1.986926
262,1.982634
263,1.858991
264,1.966281
265,1.932677
266,2.056592
267,1.860192
268,1.971794
269,1.989145
270,1.998553
271,1.867142
272,1.962291
273,1.919879
274,2.032083
275,1.83165
276,1.985707
277,1.982509
278,2.005982
279,1.856904
280,1.969712
281,2.001244
282,1.998248
283,1.851906
284,1.980951
285,1.994108
286,1.997752
287,1.8506
288,1.969757
289,1.96758
290,2.027417
291,1.803021
292,2.034017
293,2.000201
294,1.99399
295,1.845983
296,1.979019
297,1.993117
298,2.001158
299,1.853023
300,1.957317
301,1.964921
302,2.011303
303,1.859194
304,1.964712
305,1.990746
306,1.989568
307,1.889625
308,1.976155
309,1.987384
310,1.916054
311,1.797592
312,1.97045
313,1.991898
314,1.99553
315,1.816795
316,1.96199
317,1.993828
318,1.99581
319,1.809384
320,1.991152
321,1.963997
322,1.993314
323,1.823796
324,1.961862
325,1.994111
326,1.994281
327,1.80375
328,1.970026
329,1.994521
330,1.997675
331,1.808513
332,1.9691
333,1.992488
334,1.99262
335,1.80862
336,1.976666
337,1.997325
338,1.985711
339,1.767659
340,2.043739
341,1.993316
342,1.995267
343,1.857552
344,1.967471
345,1.989039
346,1.993912
347,1.831317
348,1.975046
349,1.99541
350,2.007129
351,1.869285
352,1.964187
353,1.982718
354,1.953604
355,1.830338
356,1.97743
357,1.993249
358,2.004735
359,1.895637
360,1.956273
361,2.008639
362,1.993551
363,1.863982
364,1.962707
365,2.004246
366,1.956913
367,1.862331
368,1.971972
369,1.993637
370,1.993779
371,1.840993
372,1.980912
373,1.996596
374,1.986902
375,1.837585
376,1.976171
377,1.967381
378,1.983239
379,1.910016
380,1.976078
381,1.986329
382,1.990446
383,1.809729
384,1.984351
385,1.980582
386,1.996143
387,1.859191
388,1.942212
389,2.013568
390,1.969994
391,1.839677
392,1.962645
393,1.981206
394,2.00287
395,1.759985
396,2.035495
397,2.01251
398,1.972176
399,1.813776
400,1.971394
401,1.989647
402,1.998509
403,1.854272
404,1.95241
405,2.008712
406,1.990167
407,1.861176
408,1.974261
409,1.990309
410,1.987699
411,1.858734
412,1.96636
413,1.974381
414,1.978632
415,1.81114
416,1.97265
417,1.978857
418,2.005165
419,1.834118
420,2.009066
421,1.96792
422,1.991449
423,1.880588
424,1.981822
425,2.004302
426,2.000576
427,1.851876
428,1.980748
429,2.007438
430,1.98717
431,1.836162
432,1.990611
433,1.946179
434,2.013744
435,1.85731
436,1.924572
437,2.047014
438,2.004424
439,1.886383
440,1.965071
441,1.990542
442,1.992512
443,1.804413
444,1.969779
445,2.053941
446,1.988335
447,1.825483
448,1.976487
449,2.033206
450,1.985413
451,1.866672
452,1.967471
453,1.99042
454,1.991897
455,1.830658
456,1.965599
457,1.999071
458,2.019512
459,1.841517
460,1.984961
461,1.998543
462,1.96107
463,1.846618
464,2.014615
465,1.935844
466,1.996082
467,1.827263
468,1.964436
469,1.99266
470,1.98843
471,1.949025
472,1.895304
473,2.001133
474,2.006483
475,1.781845
476,1.98439
477,1.971955
478,1.926392
479,1.830328
480,1.981371
481,1.997715
482,1.997902
483,1.821296
484,1.974037
485,1.985492
486,1.994373
487,1.831
488,1.970447
489,2.003231
490,1.978471
491,1.828856
492,1.974048
493,1.988606
494,1.995125
495,1.81931
496,1.971941
497,1.993438
498,1.994048
499,1.809159
500,1.971624
501,1.9754
502,1.976632
503,1.8629
504,1.976355
505,1.996987
506,1.988952
507,1.864602
508,1.931724
509,2.027565
510,1.989621
511,1.855962
512,1.941697
513,2.027439
514,1.985073
515,1.862013
516,1.995825
517,1.973071
518,1.997237
519,1.856435
520,1.971338
521,1.987698
522,1.996915
523,1.849495
524,1.971723
525,1.987095
526,1.995435
527,1.854857
528,1.97526
529,1.990875
530,1.997263
531,1.806152
532,1.976964
533,2.000112
534,1.99439
535,1.798338
536,2.022823
537,1.983608
538,2.009114
539,1.857099
540,1.970897
541,1.987807
542,1.999381
543,1.84501
544,2.020772
545,1.988058
546,1.993669
547,1.845385
548,1.998608
549,1.981244
550,2.004661
551,1.991151
552,2.001278
553,1.779864
554,1.988447
555,1.845377
556,1.972946
557,1.994072
558,1.986946
559,1.846245
560,2.022013
561,1.950845
562,2.033989
563,1.775572
564,1.971419
565,1.987157
566,2.012034
567,1.852626
568,1.969597
569,1.994369
570,1.989685
571,1.830365
572,1.960294
573,2.009499
574,1.996171
575,1.879273
576,1.955572
577,1.979948
578,1.997517
579,1.77369
580,1.968387
581,2.038172
582,1.99914
583,1.858477
584,1.970626
585,1.988185
586,1.994783
587,1.780301
588,2.011531
589,1.998018
590,1.990672
591,1.854718
592,1.966738
593,1.993928
594,1.988203
595,1.86292
596,1.966665
597,1.994177
598,1.989506
599,1.79869
600,1.968629
601,1.994332
602,1.99323
603,1.847993
604,1.976377
605,1.993436
606,1.99652
607,1.864282
608,1.971489
609,1.996118
610,1.99601
611,1.817101
612,1.969539
613,1.994963
614,2.08403
615,1.860219
616,1.971932
617,1.961467
618,2.031288
619,1.861884
620,1.965717
621,1.962476
622,1.989322
623,1.870617
624,1.962505
625,2.001066
626,1.994702
627,1.86759
628,1.976318
629,1.988808
630,1.998593
631,1.897624
632,1.968339
633,1.996988
634,1.99178
635,1.889376
636,1.971818
637,1.983576
638,1.998911
639,1.843287
640,1.971075
641,1.986091
642,2.001686
643,1.860778
644,1.988471
645,2.014868
646,1.975637
647,1.874957
648,1.917581
649,2.044944
650,1.952605
651,1.794016
652,1.944839
653,2.074808
654,1.971099
655,1.81567
656,1.961579
657,1.995563
658,1.987094
659,1.804461
660,1.982753
661,1.991485
662,1.991224
663,1.791295
664,1.965568
665,1.989633
666,1.997365
667,1.805698
668,1.963449
669,1.994129
670,1.993043
671,1.824937
672,1.973299
673,1.990204
674,1.991022
675,1.818681
676,1.975413
677,1.99136
678,2.003464
679,1.832383
680,1.968016
681,1.990897
682,1.993304
683,1.853472
684,1.966543
685,1.993747
686,2.006092
687,1.827899
688,2.009153
689,2.011178
690,2.015312
691,1.830549
692,1.985728
693,2.004048
694,1.991959
695,1.847321
696,1.984517
697,1.996759
698,1.999166
699,1.867072
700,1.968889
701,1.997142
702,1.97797
703,1.867661
704,1.97651
705,1.991941
706,2.005739
707,1.825778
708,1.956889
709,2.044524
710,1.942373
711,1.854542
712,1.977661
713,1.991222
714,1.99839
715,1.857646
716,1.975109
717,1.993243
718,1.993764
719,1.870968
720,1.959625
721,1.992534
722,2.007094
723,1.793449
724,1.968997
725,1.989605
726,2.005984
727,1.791541
728,2.000312
729,2.002855
730,2.014643
731,1.866762
732,1.956323
733,1.984198
734,2.007197
735,1.866075
736,1.976295
737,1.96356
738,2.01057
739,1.853704
740,1.97453
741,1.966437
742,2.009956
743,1.834935
744,1.939064
745,1.991532
746,2.030227
747,1.839004
748,2.012925
749,1.923842
750,1.962378
751,1.868366
752,1.948675
753,2.026587
754,1.963451
755,1.867628
756,1.965193
757,2.003222
758,1.991765
759,1.840042
760,1.998824
761,1.969505
762,1.984151
763,1.829083
764,2.005574
765,1.960578
766,2.05498
767,1.766879
768,1.968443
769,2.04538
770,2.022612
771,1.871748
772,1.954697
773,2.023157
774,1.973125
775,1.828122
776,1.974486
777,1.99729
778,2.002697
779,1.851259
780,1.966965
781,2.023136
782,1.93052
783,1.856769
784,1.971591
785,1.994811
786,1.999558
787,1.884368
788,1.951219
789,2.025013
790,1.961647
791,1.864338
792,1.977237
793,1.999057
794,1.992725
795,1.854704
796,1.968073
797,1.996597
798,2.002316
799,1.857855
800,1.924114
801,1.984348
802,2.001083
803,1.89601
804,1.94047
805,2.023092
806,1.967478
807,1.855535
808,1.961928
809,1.980802
810,1.992464
811,1.882741
812,1.93932
813,2.015193
814,1.970555
815,1.819896
816,1.943094
817,1.986273
818,2.000303
819,1.84884
820,1.993203
821,1.964654
822,1.997784
823,1.996834
824,1.903403
825,1.870269
826,1.956093
827,1.848065
828,1.966006
829,2.003136
830,1.994034
831,1.838622
832,1.988643
833,1.988934
834,1.998498
835,1.847125
836,1.980211
837,1.988255
838,1.9967
839,1.836382
840,1.986792
841,1.988302
842,2.001591
843,1.863032
844,2.164322
845,1.803252
846,1.913636
847,1.833668
848,1.97496
849,1.990963
850,1.997628
851,1.831109
852,1.962703
853,1.999375
854,1.983934
855,1.86484
856,1.968148
857,1.996062
858,1.989367
859,1.841663
860,1.997061
861,1.983838
862,1.997475
863,1.861065
864,1.942232
865,2.0377
866,1.982051
867,1.83443
868,1.996141
869,1.965097
870,2.019805
871,1.870515
872,1.973162
873,1.994059
874,2.00135
875,1.828122
876,1.973612
877,1.999148
878,1.993334
879,1.837974
880,2.005785
881,1.99129
882,2.002397
883,1.864638
884,1.97261
885,2.003385
886,1.991886
887,1.825572
888,2.034081
889,1.95503
890,1.990145
891,1.889317
892,2.011275
893,1.979301
894,2.001745
895,1.809787
896,1.961956
897,1.994205
898,1.99558
899,1.804522
900,1.969783
901,1.988626
902,2.006236
903,1.839406
904,1.972058
905,1.999237
906,1.987846
907,1.82057
908,1.978947
909,1.980094
910,2.033702
911,1.812008
912,1.962199
913,2.007137
914,1.972615
915,1.859797
916,1.947063
917,1.996649
918,1.992434
919,1.854462
920,1.956934
921,1.980589
922,1.976843
923,1.807777
924,1.981446
925,1.956486
926,2.002546
927,1.819219
928,1.969837
929,1.994713
930,1.988923
931,1.82036
932,1.987358
933,1.974898
934,1.996606
935,1.806202
936,1.966882
937,1.992073
938,1.99377
939,1.829323
940,1.966324
941,1.992964
942,1.995707
943,1.816988
944,1.977786
945,1.989883
946,2.005961
947,1.860914
948,1.970239
949,1.992043
950,2.071313
951,1.806028
952,1.978662
953,1.987068
954,1.997657
955,1.860719
956,1.962347
957,2.012669
958,1.984949
959,1.862713
960,1.966761
961,1.999358
962,1.98586
963,1.783854
964,2.00984
965,1.993001
966,1.993582
967,1.824407
968,1.973903
969,1.991026
970,1.994768
971,1.815543
972,1.974759
973,1.97916
974,2.002361
975,1.813575
976,1.939785
977,2.019337
978,1.992938
979,1.869746
980,1.974274
981,1.976458
982,2.009689
983,1.802509
984,1.998302
985,1.994667
986,1.989012
987,1.842337
988,1.957211
989,2.062819
990,1.959675
991,1.778705
992,1.96151
993,2.030646
994,1.96607
995,1.981351
996,1.909354
997,1.944828
998,2.040923
999,1.763857
