Measurement,Time
0,47.82972
1,48.105546
2,47.868117
3,48.049944
4,47.930193
5,48.093109
6,47.898973
7,48.046859
8,47.949747
9,48.073138
10,47.913784
11,48.05966
12,47.922672
13,48.113095
14,47.878808
15,48.086293
16,47.885054
17,48.138294
18,47.837318
19,48.017429
20,47.868396
21,47.98394
22,48.016265
23,48.050988
24,47.976264
25,48.075065
26,47.912465
27,48.057367
28,47.965137
29,48.064346
30,47.910672
31,48.062644
32,47.972552
33,48.063716
34,47.922881
35,48.057068
36,47.950306
37,48.014071
38,47.997676
39,48.049138
40,47.904143
41,48.071917
42,47.932489
43,48.034627
44,47.931064
45,48.102647
46,47.889502
47,48.058286
48,47.987714
49,48.034006
50,47.950555
51,48.059218
52,47.852701
53,48.108082
54,47.885145
55,48.063061
56,47.972086
57,48.063938
58,47.879848
59,48.060072
60,47.978628
61,48.069694
62,47.901958
63,48.057275
64,47.964298
65,48.043529
66,47.943112
67,48.11832
68,47.944472
69,48.229849
70,47.75917
71,48.066437
72,47.935534
73,48.076065
74,47.909938
75,48.052921
76,47.990398
77,48.017904
78,47.940389
79,48.052278
80,47.925798
81,48.0742
82,47.927332
83,48.047416
84,47.961623
85,48.072439
86,47.921569
87,48.052635
88,47.977587
89,48.067852
90,47.920006
91,48.108994
92,47.956055
93,48.063999
94,47.898497
95,48.058367
96,47.974362
97,48.031305
98,47.950452
99,48.052608
100,47.912059
101,48.077428
102,47.906728
103,48.050778
104,47.916286
105,48.1237
106,47.855957
107,48.051087
108,47.95304
109,48.095968
110,47.884869
111,48.064175
112,48.027287
113,48.032706
114,47.833896
115,48.050144
116,47.976949
117,48.080318
118,47.902373
119,47.970152
120,47.904377
121,48.078864
122,47.906781
123,48.064737
124,47.976951
125,48.045979
126,47.946231
127,48.048832
128,47.984618
129,48.06193
130,47.92086
131,48.070076
132,47.858479
133,48.073758
134,47.866957
135,48.043427
136,47.95349
137,48.0004
138,47.985246
139,48.05717
140,47.970497
141,48.124076
142,47.864763
143,48.059548
144,47.876125
145,48.037237
146,48.012419
147,47.983981
148,47.970496
149,48.041536
150,47.93715
151,48.055816
152,47.965908
153,48.020959
154,47.960527
155,48.053856
156,47.931073
157,48.071929
158,47.908218
159,48.063058
160,47.932471
161,48.075333
162,47.940356
163,48.056255
