Measurement,Time
0,1.820964
1,2.044034
2,1.882372
3,1.878899
4,1.786295
5,1.850682
6,1.996837
7,1.803646
8,1.634192
9,1.859104
10,1.789349
11,1.950484
12,1.654279
13,1.855335
14,1.929611
15,2.072338
16,1.761617
17,1.872708
18,1.883398
19,1.845157
20,1.976007
21,1.768296
22,2.003568
23,1.59165
24,1.757072
25,1.840977
26,1.862395
27,2.191229
28,1.891213
29,1.877362
30,1.818499
31,1.924242
32,1.86278
33,1.913543
34,2.035267
35,1.947368
36,1.730975
37,1.995749
38,1.882986
39,1.826938
40,1.820377
41,1.93388
42,1.923306
43,2.077887
44,1.749467
45,1.836209
46,1.957016
47,2.008076
48,1.91692
49,1.945938
50,1.847787
51,1.853959
52,2.017444
53,1.907135
54,1.90187
55,1.890455
56,1.692302
57,1.933603
58,1.838019
59,1.820678
60,1.709983
61,1.822954
62,2.004577
63,2.117457
64,1.807669
65,1.785179
66,1.882296
67,1.976523
68,1.869408
69,1.949556
70,2.020904
71,1.949854
72,1.871177
73,1.606207
74,1.999282
75,1.911
76,1.855838
77,2.050246
78,1.837451
79,1.767464
80,1.48953
81,2.021096
82,1.942508
83,1.961105
84,1.793655
85,1.887473
86,2.070768
87,1.957378
88,1.757483
89,1.733746
90,2.03601
91,2.208306
92,2.038252
93,1.500899
94,2.27844
95,2.061655
96,1.768666
97,2.040461
98,1.85695
99,1.973871
100,1.682791
101,1.961527
102,1.834129
103,1.93041
104,1.966343
105,1.777066
106,1.967486
107,2.060094
108,1.729225
109,1.896784
110,2.093476
111,1.761915
112,1.926611
113,1.943958
114,2.095862
115,1.683388
116,1.956279
117,1.962268
118,1.864326
119,1.932407
120,1.988423
121,1.755974
122,1.788782
123,1.98299
124,1.788026
125,1.773465
126,2.004162
127,1.970491
128,1.720145
129,1.953538
130,1.988517
131,2.019125
132,1.911649
133,1.809311
134,1.967149
135,1.870846
136,1.759502
137,1.883772
138,1.961593
139,2.126949
140,1.692999
141,1.790966
142,1.987608
143,1.986574
144,2.061269
145,1.704018
146,1.939532
147,1.987399
148,1.598078
149,2.014426
150,1.782956
151,1.77403
152,1.714133
153,1.881193
154,1.978786
155,1.973599
156,1.598656
157,2.066955
158,1.819515
159,2.22723
160,1.755635
161,1.847983
162,1.827227
163,2.108744
164,1.636002
165,2.487021
166,1.508305
167,2.055869
168,1.586469
169,1.995899
170,1.95515
171,2.004893
172,1.839048
173,1.842361
174,1.86031
175,1.961286
176,1.727919
177,1.911084
178,1.855513
179,2.005435
180,1.760965
181,1.919668
182,1.963205
183,1.963008
184,0.001597
185,0.029483
186,1.902588
187,1.814103
188,1.778811
189,1.971506
190,1.82116
191,1.827556
192,2.109977
193,1.809192
194,1.697604
195,2.049287
196,1.998319
197,1.767527
198,1.73552
199,1.84784
200,1.984943
201,2.013415
202,1.777918
203,1.784168
204,1.783427
205,1.977912
206,1.869961
207,2.050277
208,1.993155
209,1.964004
210,1.642173
211,2.150388
212,2.049456
213,1.779868
214,1.776459
215,1.87283
216,1.983768
217,1.971502
218,1.897393
219,1.830043
220,1.800336
221,2.178024
222,1.64054
223,1.821924
224,3.160225
225,2.65031
226,1.866463
227,1.978039
228,1.989146
229,1.817083
230,1.843386
231,1.898222
232,1.836485
233,2.011461
234,1.743875
235,1.824408
236,1.842273
237,2.153005
238,1.691456
239,1.930957
240,1.766664
241,2.091911
242,1.927798
243,1.916789
244,2.067345
245,1.79548
246,1.465873
247,2.228208
248,1.984719
249,1.75514
250,1.773086
251,1.85723
252,2.002895
253,1.964423
254,1.808852
255,1.779971
256,2.074627
257,1.91281
258,1.703777
259,1.870439
260,2.017593
261,1.962596
262,1.835153
263,2.001021
264,2.090493
265,1.766826
266,1.76099
267,1.79398
268,1.791953
269,2.166057
270,1.622493
271,1.758404
