Measurement,Time
0,3.949475
1,3.970833
2,3.999736
3,4.000368
4,3.900754
5,3.967121
6,3.987965
7,3.967001
8,3.91772
9,3.982032
10,3.995004
11,4.004543
12,3.899696
13,3.992558
14,3.992689
15,3.992329
16,3.89723
17,3.991953
18,3.990675
19,4.009974
20,3.934481
21,3.971922
22,3.950828
23,4.681322
24,3.926429
25,3.980535
26,4.010255
27,3.995929
28,3.938302
29,3.941598
30,4.041632
31,3.983913
32,3.995762
33,3.98998
34,3.988432
35,4.007058
36,3.965564
37,3.995445
38,3.987665
39,4.62805
40,3.93878
41,3.970949
42,3.998913
43,3.984788
44,3.910109
45,3.983087
46,3.99843
47,3.986591
48,3.92034
49,3.987022
50,3.988192
51,4.014413
52,3.899449
53,3.978073
54,3.999418
55,4.020108
56,3.914365
57,3.955782
58,3.974822
59,4.870153
60,3.850088
61,4.01552
62,3.964458
63,4.023138
64,3.929072
65,3.99083
66,3.999847
67,4.578939
68,3.905807
69,3.991982
70,3.99301
71,4.566788
72,3.920414
73,3.894705
74,3.999446
75,4.610178
76,3.911718
77,3.995412
78,3.994816
79,4.66285
80,3.941119
81,3.984709
82,3.993232
83,3.994633
84,3.879818
85,4.035652
86,3.987536
87,4.022143
88,3.929524
89,3.969677
90,4.001565
91,4.633307
92,3.880957
93,4.025087
94,4.000295
95,4.045079
96,3.904437
97,3.977962
98,4.000472
99,4.633375
100,3.929819
101,3.973226
102,3.946075
103,4.634721
104,3.934095
105,3.980541
106,3.997748
107,4.491957
108,3.862275
109,3.969635
110,3.998661
111,4.799376
112,3.912302
113,3.966011
114,4.012407
115,4.686884
116,3.892913
117,3.90352
118,4.063596
119,4.873487
120,3.884383
121,3.9689
122,3.990224
123,4.005959
124,3.887365
125,3.978496
126,4.010965
127,4.024058
128,3.926151
129,3.932811
130,4.042286
131,4.565265
132,3.942678
133,3.993682
134,3.984139
135,3.996644
136,3.910812
137,3.989296
138,3.998104
139,3.997519
140,3.925958
141,3.891074
142,4.078029
143,4.622072
144,3.924922
145,3.890167
146,4.07415
147,4.58874
148,3.919599
149,3.979227
150,3.993225
151,4.051456
152,3.904166
153,3.975908
154,3.985211
155,4.629598
156,3.930706
157,3.980923
158,3.997312
159,4.637829
160,3.875311
161,4.029577
162,4.002049
163,4.003637
164,3.873963
165,4.016316
166,4.010727
167,3.975191
168,3.927581
169,3.96884
170,4.029001
171,4.009551
172,3.930339
173,3.975711
174,3.992395
175,4.61277
176,3.943287
177,3.995021
178,4.021294
179,4.566285
180,3.900224
181,3.979915
182,4.004118
183,4.636414
184,3.884413
185,3.995867
186,3.971416
187,4.667601
188,3.915721
189,3.957599
190,3.994455
191,4.659591
192,3.924705
193,3.998608
194,3.994992
195,4.014885
196,3.896705
197,3.986675
198,3.954064
199,4.649837
200,3.97987
201,3.92775
202,4.044222
203,4.553812
204,3.875116
205,3.997705
206,3.951284
