Measurement,Time
0,8.040558
1,7.798842
2,7.972089
3,7.991626
4,7.87556
5,7.968322
6,8.03012
7,7.995912
8,7.956243
9,7.973729
10,8.001644
11,7.990229
12,6.92394
13,8.021126
14,7.99066
15,7.99362
16,7.937178
17,7.943998
18,8.034469
19,7.993399
20,7.921467
21,7.973336
22,7.942881
23,8.056197
24,7.869253
25,7.98302
26,7.970718
27,8.023529
28,7.92201
29,7.960286
30,10.880914
31,5.330125
32,7.909245
33,7.985118
34,8.51599
35,7.576962
36,7.877737
37,7.990315
38,8.627572
39,7.288495
40,7.932999
41,7.936229
42,8.572399
43,7.588335
44,7.936344
45,7.98284
46,8.529632
47,7.451359
48,7.885474
49,8.002633
50,7.967954
51,7.9755
52,7.950195
53,7.963922
54,8.007503
55,8.102527
56,6.943738
57,7.961191
58,8.581947
59,7.414944
60,7.816123
61,7.980801
62,8.010726
63,7.985998
64,7.897164
65,8.003033
66,7.979436
67,8.009661
68,7.938935
69,7.983246
70,8.499676
71,7.60586
72,7.913745
73,7.981319
74,8.614614
75,7.33901
76,6.899653
77,7.975275
78,8.511665
79,7.472987
80,7.92117
81,7.995437
82,8.010322
83,7.938969
84,7.909857
85,7.994889
86,8.017359
87,7.960741
88,7.93613
89,7.978713
90,8.789854
91,7.197394
92,6.928381
93,7.956895
94,8.800611
95,7.205199
96,6.937168
97,8.014555
98,8.749659
99,7.219675
100,6.939552
101,7.991557
102,8.771801
103,7.206386
104,7.887175
105,7.988571
106,7.953603
107,8.061533
108,7.925936
109,7.978779
110,8.807291
111,7.171554
112,7.916864
113,7.999999
114,7.94608
115,8.031072
116,6.928908
117,7.975002
118,8.802415
119,7.17486
120,7.960134
121,7.982709
122,8.822087
123,7.091919
124,7.927825
125,7.97938
126,8.834421
127,7.316355
128,6.892587
129,8.003375
130,8.000768
131,8.016386
132,6.956296
133,7.974979
134,8.801051
135,7.209323
136,7.93671
137,7.971849
138,8.792406
139,7.046214
140,6.932507
141,7.965465
142,8.803956
143,7.175108
144,7.918695
145,7.988563
146,8.807894
147,7.099761
148,7.885589
149,8.030065
150,7.950111
151,8.005776
152,7.898574
153,8.012241
154,8.033493
155,7.942886
156,7.876928
157,8.021489
158,8.77951
159,7.203268
160,6.865805
161,8.037234
162,7.979091
163,7.99501
164,7.895953
165,8.014322
166,7.990847
167,7.993015
168,7.919555
169,7.944036
170,8.790369
171,7.22272
172,7.86934
173,8.044714
174,8.021216
175,8.060587
176,7.923155
177,7.983415
178,8.604999
179,7.361476
180,6.887038
181,7.999904
182,8.554858
183,7.560972
184,6.922163
185,7.991893
186,8.042078
187,7.952077
188,7.918801
189,7.996297
190,8.009282
191,8.14945
192,7.939607
193,7.988809
194,8.777666
195,7.184854
196,7.918562
197,7.959056
198,8.534753
199,7.477267
200,6.918891
201,7.983592
202,8.523183
203,7.463218
204,7.99053
205,8.072843
206,7.933147
207,8.083862
208,6.909339
209,7.983954
210,8.576503
211,7.344064
212,7.926277
213,7.987298
214,8.529516
215,7.424163
216,7.910934
217,7.979399
218,8.554326
219,7.429468
220,7.929627
221,7.984883
222,8.566452
223,7.429597
224,7.939619
225,7.980803
226,8.581231
227,7.4034
228,6.913318
229,7.980419
230,8.760906
231,7.248909
232,7.892102
233,7.973816
234,8.022138
235,8.142281
236,7.935094
237,7.977838
238,8.014006
239,7.963966
240,6.917778
241,7.95739
242,8.825234
243,7.199248
244,7.908922
245,8.004036
246,8.719025
247,7.264344
248,7.917009
249,7.968456
250,8.580976
251,7.579659
252,7.918666
253,7.936951
254,8.589128
255,7.444679
256,7.937592
257,7.976129
258,8.581349
259,7.394168
260,7.887148
261,8.016578
262,8.016366
263,7.933234
264,7.922906
265,7.982576
266,8.012764
267,7.943616
268,7.943596
269,7.975866
270,8.537002
271,7.390824
272,7.940329
273,7.971032
274,8.695383
275,7.304597
276,7.89307
277,8.01127
278,7.980353
279,8.159772
280,6.995303
281,7.978907
282,8.572394
283,7.424546
284,6.925814
285,7.992621
286,8.501744
287,7.478388
288,7.949234
289,7.98807
290,8.53594
291,7.435024
292,7.926925
293,7.984473
294,8.574125
295,7.5152
296,6.955799
297,7.987083
298,8.000008
299,7.980066
300,7.958908
301,7.977313
302,8.759686
303,7.215395
304,7.927583
305,8.056798
306,8.432237
307,7.515829
308,7.842193
309,8.015772
310,8.043606
311,7.943779
312,7.947194
313,7.975091
314,8.539392
315,7.455048
316,6.917758
317,7.988077
318,8.51009
319,7.488202
320,7.906468
321,7.983977
322,8.72936
323,7.257781
324,7.948953
325,8.012626
326,7.996194
327,7.963516
328,6.941535
329,7.93837
330,8.524066
331,7.649669
332,6.937181
333,7.991272
334,8.574313
335,7.408029
336,7.973012
337,7.966468
338,8.594784
339,7.387418
340,6.878382
341,8.054952
342,8.013845
343,7.95968
344,6.966897
345,7.978814
346,8.59345
347,7.549481
348,7.940384
349,7.931548
350,8.619155
351,7.572268
352,7.938249
353,7.933605
354,8.56748
355,7.421381
356,6.899906
357,7.987213
358,8.477899
359,7.588408
360,7.915555
361,7.991944
362,8.04081
363,7.973645
364,7.915387
365,7.993315
366,8.523569
367,7.627003
368,7.921513
369,7.971435
370,8.623215
371,7.53696
372,7.8854
373,7.983817
374,8.604764
375,7.388171
376,7.911024
377,7.998535
378,8.00508
379,7.967475
380,7.82742
381,8.033358
382,8.028149
383,8.094922
384,6.894019
385,8.031172
386,8.024909
387,7.970764
388,7.923785
389,7.983829
390,8.557497
391,7.433394
392,6.929546
393,7.986754
394,8.5639
