Measurement,Time
0,3.844946
1,3.971642
2,4.004365
3,3.985859
4,3.813007
5,4.002761
6,4.007765
7,3.987594
8,3.832138
9,4.064245
10,3.993565
11,4.009167
12,3.880676
13,3.948972
14,4.034884
15,4.772382
16,3.929411
17,3.927717
18,4.03514
19,4.622567
20,3.857434
21,3.966692
22,4.001689
23,4.616333
24,3.857006
25,3.984052
26,3.983485
27,4.583917
28,3.913778
29,3.988116
30,3.986321
31,4.54405
32,3.86179
33,3.981083
34,4.003214
35,4.577976
36,3.825641
37,3.976439
38,3.998677
39,4.593797
40,3.911835
41,3.981141
42,3.991961
43,4.581911
44,3.883231
45,3.979291
46,4.006063
47,4.583701
48,3.867895
49,3.983969
50,3.984892
51,4.828363
52,3.894382
53,3.982095
54,3.963463
55,4.726977
56,3.895528
57,3.982138
58,3.997262
59,4.024753
60,3.890135
61,3.976946
62,3.95783
63,4.778259
64,3.904882
65,3.979691
66,3.993372
67,4.59663
68,3.868815
69,4.026195
70,3.998278
71,4.032838
72,3.895467
73,3.970915
74,4.001686
75,4.01772
76,3.858799
77,4.017474
78,3.992805
79,3.986606
80,3.900024
81,3.97589
82,3.994283
83,4.72183
84,3.894579
85,3.978211
86,3.97278
87,4.554629
88,3.90963
89,3.985561
90,3.991326
91,4.538057
92,3.902298
93,3.98657
94,3.988249
95,4.536381
96,3.911618
97,3.98325
98,4.028724
99,4.018496
100,3.836474
101,4.024215
102,3.989515
103,4.027462
104,3.893041
105,3.978526
106,3.995499
107,4.594998
108,3.907686
109,3.975533
110,3.992867
111,4.027501
112,3.897208
113,3.994779
114,3.978801
115,4.55815
116,3.888927
117,3.993935
118,3.987437
119,4.569238
120,3.877914
121,3.984817
122,4.006959
123,4.636815
124,3.904653
125,3.985323
126,4.009085
127,3.932111
128,3.922183
129,3.987679
130,4.013325
131,4.011613
132,3.884774
133,3.979454
134,3.996983
135,4.642573
136,3.906256
137,3.982857
138,3.989848
139,4.620697
140,3.905344
141,3.975572
142,3.994467
143,4.614138
144,3.902084
145,3.995211
146,3.978653
147,4.612057
148,3.90782
149,3.935601
150,4.043918
151,4.606802
152,3.911078
153,3.899272
154,3.988284
155,4.60221
156,3.891676
157,3.983101
158,4.003637
159,4.60952
160,3.847539
161,4.034395
162,3.991468
163,4.019882
164,3.889135
165,3.988029
166,3.999453
167,4.031003
168,3.857927
169,4.026068
170,3.982317
171,4.025336
172,3.900593
173,3.990153
174,4.001544
175,4.601897
176,3.844191
177,4.035492
178,3.996697
179,4.841934
180,3.891147
181,3.98501
182,3.995618
183,4.609941
184,3.915321
185,3.965578
186,4.00726
187,4.671241
188,3.899734
189,3.980161
190,3.975446
191,4.5812
192,3.901901
193,3.986839
194,3.987351
195,4.598378
196,3.871847
197,3.991043
198,3.995116
199,4.685547
200,3.900372
201,3.979742
202,3.998412
203,4.694661
204,3.838905
205,3.940783
206,4.089376
207,4.012811
208,3.90213
209,3.97557
210,3.992616
211,4.590462
212,3.868506
213,3.987844
214,4.002825
215,4.017086
216,3.886084
217,3.985777
218,3.974053
219,4.032898
220,3.915374
221,3.972734
222,3.994392
223,4.529274
224,3.993369
225,3.929809
226,4.020399
227,4.003094
228,3.907679
229,3.979741
230,3.993699
231,4.556276
232,3.905348
233,3.980776
234,3.996195
235,4.565668
236,3.814419
237,4.075618
238,3.995139
239,4.014348
240,3.906322
241,3.948168
242,3.990656
243,4.595713
244,3.907984
245,3.972476
246,4.000215
247,4.645797
248,3.919421
249,3.974826
250,4.008619
251,4.598007
252,3.923823
253,3.975545
254,4.000064
255,4.588232
256,3.907017
257,3.945204
258,4.037017
259,4.620493
260,3.863233
261,4.024292
262,4.004002
263,4.011154
264,3.905588
265,3.993277
266,3.989384
267,4.524146
268,3.904709
269,3.980232
270,3.997702
271,4.63821
272,3.950242
273,3.981649
274,4.000693
275,4.577472
276,3.917466
277,3.977668
278,3.998494
279,4.627453
280,3.916958
281,3.980274
282,3.992079
283,4.568689
284,3.90838
285,3.987698
286,3.993257
287,4.021924
288,3.914486
289,3.965924
290,4.005857
291,4.665501
292,3.896463
293,3.990059
294,3.998219
295,4.03802
296,3.899487
297,3.980575
298,4.007294
299,4.631125
300,3.891123
301,3.983773
302,3.991676
303,4.589172
304,3.91471
305,3.982712
306,3.995375
307,4.540874
308,3.914082
309,3.980387
310,3.975482
311,4.041652
312,3.906242
313,3.981566
314,3.989827
315,4.626965
316,3.924529
317,3.964258
318,4.004556
319,4.593555
320,3.913772
321,3.981925
322,4.0037
323,4.632199
324,3.912835
325,3.946853
326,4.036267
327,4.629397
328,3.880621
329,3.987192
330,4.002418
331,4.020254
332,0.0017
333,3.244999
334,3.943798
335,3.860157
336,4.039805
337,3.986728
338,4.023554
339,3.856116
340,4.025291
341,4.000666
342,4.023836
343,3.904976
344,3.984858
345,3.985949
346,4.559965
347,3.896555
348,3.981412
349,4.009187
350,4.012892
351,3.89975
352,3.990423
353,3.979031
354,4.601214
355,3.903069
356,3.974162
357,3.998352
358,4.575928
359,3.908888
360,3.988239
361,3.992764
362,4.550446
363,3.899476
364,3.983782
365,3.993972
366,4.556768
367,3.912284
368,3.980128
369,4.01525
370,4.000754
371,3.885971
372,3.996656
373,3.992958
374,3.986253
375,3.920971
376,3.969465
377,3.964933
378,4.561958
379,3.914607
380,4.002564
381,3.984827
382,4.005228
383,3.909373
384,3.983688
385,4.001252
386,4.546851
387,3.932308
388,3.969818
389,3.9988
390,4.525631
391,3.889821
392,3.987783
393,3.990124
394,4.586612
395,3.901799
396,3.981662
397,3.993152
398,4.584828
399,3.920315
400,3.972606
401,3.993909
402,4.579679
403,3.884014
404,3.931901
405,4.052246
406,4.015074
407,3.899179
408,4.001501
409,3.949725
410,4.584259
411,3.909137
412,3.99262
413,3.992257
414,4.605437
415,3.912874
416,3.991926
417,3.996534
418,4.013453
419,3.897291
420,4.015079
421,3.97588
422,4.011373
423,3.889464
424,3.964179
425,4.004631
426,4.565371
427,3.917775
428,3.983299
429,4.054943
430,4.022274
431,3.895745
432,3.987681
433,4.002213
434,4.586455
435,3.905564
436,3.99445
437,3.950278
438,4.631447
