Measurement,Time
0,16.587368
1,19.973661
2,9.075252
3,31.874567
4,19.929631
5,19.850138
6,19.732727
7,8.301202
8,22.854764
9,20.124909
10,16.73884
11,23.985421
12,19.176798
13,18.839738
14,8.01249
15,21.116125
16,18.806325
17,20.953
18,19.18907
19,26.464126
20,16.962301
21,20.061725
22,20.123999
23,8.936075
24,19.991439
25,17.917276
26,9.024704
27,20.012733
28,19.935839
29,19.989039
30,19.914225
31,19.940009
32,18.915633
33,20.1143
34,19.812691
35,8.121142
36,15.843445
37,24.10599
38,20.798649
39,8.00875
40,18.955959
41,16.996587
42,19.803906
43,12.165389
44,32.071721
45,7.941945
46,20.083994
47,19.883886
48,18.99323
49,16.022774
50,20.949812
51,7.913364
52,16.979529
53,23.988478
54,17.040267
55,22.959489
56,17.036785
57,15.978799
58,12.006804
59,16.972915
60,20.005247
61,22.083564
62,6.871048
63,15.981159
64,19.966876
65,21.883843
66,15.664095
67,7.451084
68,22.916967
69,15.924481
70,9.239837
71,21.020429
72,18.932238
73,17.102669
74,19.995338
75,8.712164
76,16.782417
77,19.125465
78,7.922835
79,20.107818
80,18.85016
81,20.051725
82,7.85336
83,21.021695
84,18.951323
85,16.960063
86,23.930476
87,4.920112
88,18.901347
89,17.089184
90,20.912608
91,7.784367
92,18.927431
93,21.964697
94,17.118852
95,7.884686
96,20.901559
97,21.091942
98,23.032391
99,14.808151
100,17.962723
101,17.00867
102,7.935592
103,20.101009
104,17.831301
105,17.054256
106,20.125366
107,9.538054
108,17.982978
109,16.968267
110,7.849023
111,18.072122
112,18.947391
113,16.975687
114,7.879296
115,23.129866
116,19.983247
117,16.027729
118,20.890768
119,7.696057
120,21.931896
121,21.392176
122,20.540504
123,19.028309
124,19.032207
125,21.910747
126,5.017843
127,19.975485
128,18.963741
129,21.571903
130,7.281594
131,32.098088
132,21.67195
133,21.382911
134,16.92951
135,17.587425
136,31.993228
137,21.399814
138,7.456668
139,19.214455
140,16.887525
141,19.05623
142,7.870499
143,20.090005
144,17.879829
145,24.690496
146,17.400248
