Measurement,Time
0,10.829372
1,12.003037
2,13.003504
3,12.070745
4,11.077304
5,13.009572
6,11.9842
7,12.074927
8,10.813402
9,13.049948
10,11.964515
11,12.131877
12,11.793896
13,12.071042
14,13.016317
15,12.008024
16,11.914022
17,12.054748
18,12.978341
19,12.092063
20,10.886573
21,12.029483
22,12.000588
23,13.025433
24,13.90238
25,13.014437
26,11.990291
27,12.00075
28,10.909726
29,12.003957
30,12.976985
31,12.011808
32,11.967597
33,12.039265
34,11.975569
35,12.127638
36,10.859499
37,12.004536
38,12.989629
39,11.994171
40,10.906445
41,12.993457
42,11.984399
43,12.027103
44,10.902295
45,12.009661
46,12.981116
47,11.973543
48,12.974193
49,11.907605
50,12.030862
51,13.026987
52,10.948755
53,12.919685
54,12.092905
55,12.019605
56,10.924858
57,11.909046
58,13.039078
59,12.059754
60,11.065981
61,12.061395
62,12.044213
63,13.354619
64,10.887942
65,13.083174
66,12.029834
67,11.717066
68,11.896065
69,12.014995
70,12.985639
71,12.15646
72,11.001099
73,12.89236
74,12.032186
75,12.093753
76,11.883439
77,12.035363
78,11.994081
79,11.958127
80,11.020177
81,11.9437
82,11.965244
83,13.060201
84,11.942312
85,12.108643
86,11.73388
87,12.031725
88,10.884928
89,11.983132
90,13.126271
91,11.934203
92,10.880146
93,11.998276
94,12.279773
95,12.796458
96,11.014912
97,11.860497
98,11.872583
99,12.993429
100,12.961616
101,11.819226
102,11.150272
103,10.994228
104,10.882345
105,12.014072
106,12.093393
107,12.930606
108,10.76251
109,12.027719
110,12.139894
111,12.821588
112,10.943971
113,12.966121
114,12.079006
115,12.010901
116,10.823846
117,12.080062
118,11.830591
119,13.080457
120,11.932757
121,12.043487
122,12.894496
123,12.070264
124,11.819638
125,12.229813
126,11.88396
127,12.047782
128,11.957766
129,11.995966
130,12.973451
131,12.031472
132,10.95329
133,12.95242
134,12.04672
135,11.95007
136,10.889048
137,11.844556
138,12.880267
139,12.159315
140,10.913923
141,11.869862
142,13.075546
143,12.049328
144,10.761254
145,12.003723
146,11.960549
147,11.141751
148,10.762533
149,12.082411
150,12.922877
151,12.011687
152,11.910324
153,12.900102
154,12.088362
155,12.067002
156,10.845247
157,11.965795
158,13.062484
159,12.078161
160,10.871601
161,11.991068
162,12.039301
163,13.045227
164,10.970526
165,11.853257
166,12.172241
167,12.936166
168,11.8772
169,12.971906
170,11.92163
171,12.960923
172,11.866312
173,11.97097
174,11.93814
175,13.096065
176,10.876307
177,11.826783
178,13.109911
179,12.062514
180,10.874417
181,12.933057
182,12.03793
183,11.948866
184,10.9258
185,11.854448
186,13.008821
187,12.105796
188,10.788518
189,13.016502
190,12.068112
191,11.966175
192,11.955131
193,11.920417
194,12.070655
195,11.991716
196,12.851812
197,12.032157
198,12.077537
199,10.913929
200,11.996295
201,12.951983
202,11.94504
203,12.85035
204,12.060091
205,11.919303
206,12.032289
207,12.56244
208,10.959057
209,12.027636
210,12.897861
211,12.040954
212,12.946012
213,11.865224
214,12.087647
215,12.03003
216,11.085001
217,11.938429
218,11.981632
219,13.734535
220,10.880496
221,11.980193
222,12.919208
223,12.450581
224,10.947252
225,12.072015
226,12.89152
227,12.046175
228,10.706542
229,12.257767
230,11.876686
231,13.083494
232,11.134871
233,13.010882
234,11.967417
235,12.012959
236,10.799493
237,11.992957
238,11.926291
239,13.003919
240,10.920199
241,13.051736
242,12.097619
243,11.914571
244,11.946154
245,11.909616
246,12.996478
247,12.054532
248,11.070932
249,12.018872
250,12.974792
251,11.904728
252,10.833229
253,12.013218
254,12.050446
255,11.931068
256,10.876364
257,11.969728
258,12.896273
259,12.267735
260,11.953893
261,11.978141
262,13.07439
263,11.887665
264,10.939713
265,12.862175
266,12.207779
267,12.067053
268,11.956564
269,11.74417
270,12.111513
271,11.962719
272,11.081227
273,11.803671
274,12.098762
275,13.101954
276,10.979069
277,11.930889
278,12.946802
279,12.007222
280,10.804015
281,12.037672
282,12.915457
283,12.163782
284,12.02113
285,12.887906
286,11.032262
287,12.159361
288,10.960809
289,11.87673
290,12.004373
291,13.057045
292,14.100198
293,11.774335
294,12.155841
295,12.99948
296,10.916521
297,12.02549
298,12.080688
299,13.867324
300,10.922709
301,12.035623
302,12.950002
303,11.847221
304,10.84372
305,11.972061
306,13.034788
307,12.255027
308,10.960261
309,12.015054
310,11.803282
311,13.043971
312,10.855795
313,12.059808
314,11.989373
315,11.507129
316,10.877732
317,11.960913
318,12.131492
319,12.996243
320,10.902843
321,12.027765
322,13.124189
323,12.214757
324,12.037663
325,12.998582
326,11.956265
327,12.045246
328,11.937268
329,12.871264
330,11.067106
331,10.800306
332,10.917869
333,11.908537
334,12.145447
335,12.969552
336,10.900952
337,12.013454
338,12.90156
339,11.107317
340,10.878236
341,11.946004
342,13.046139
343,10.965629
344,10.878348
345,12.062171
346,12.909117
347,12.144874
348,11.866669
349,11.817863
350,13.225462
351,11.987374
352,11.917351
353,13.011752
354,11.964935
355,12.009468
356,10.869478
357,12.003314
358,12.97033
359,12.075107
360,10.88236
361,12.083808
362,12.93234
363,12.021693
364,11.980777
365,11.93465
366,13.0124
367,11.98224
368,10.940579
369,12.965766
370,12.105112
371,11.99707
372,11.883075
373,11.942442
374,13.04747
375,11.974081
376,11.805569
377,13.059518
378,12.108689
379,12.900495
380,10.831969
381,13.014994
382,12.178917
383,12.035765
384,11.821105
385,12.049135
386,12.092487
387,10.936074
388,10.854989
389,13.126011
390,11.94919
391,12.079796
392,11.928455
393,11.938019
394,13.04659
395,11.957555
396,10.866048
397,11.850545
398,12.089082
399,13.129084
400,10.907147
401,11.872759
402,11.936538
403,12.143025
404,10.934428
405,11.939359
406,13.020476
407,11.921223
408,10.908632
409,12.024355
410,12.070192
411,13.095851
412,10.703111
413,11.870293
414,13.11138
415,11.980148
416,11.047248
417,12.040309
418,12.006268
419,12.965749
420,10.831918
421,12.026148
422,12.935556
423,12.060489
424,11.026162
425,12.878772
426,12.115102
427,12.322027
428,10.90116
429,12.972761
430,12.070413
431,11.99335
432,10.87122
