Measurement,Time
0,0.001814
1,1.766137
2,2.008871
3,1.99167
4,1.994269
5,1.791697
6,1.929167
7,2.02151
8,2.014738
9,1.762566
10,2.029142
11,1.997822
12,1.947857
13,1.784462
14,2.031077
15,1.965153
16,1.995925
17,1.795804
18,1.973303
19,1.982024
20,1.999075
21,1.7882
22,2.00323
23,1.931259
24,2.000785
25,1.818761
26,1.973562
27,1.992102
28,1.993371
29,1.765904
30,1.964176
31,1.996464
32,2.002544
33,1.814353
34,1.973275
35,1.998125
36,2.011775
37,1.807255
38,1.94072
39,2.045059
40,1.992408
41,1.797083
42,1.97532
43,1.996274
44,1.995861
45,1.837475
46,1.969068
47,1.982931
48,2.011964
49,1.812183
50,1.974347
51,1.984351
52,1.994465
53,1.827614
54,1.986083
55,1.994289
56,1.998058
57,1.824537
58,1.95815
59,1.998793
60,1.999264
61,1.874322
62,1.916686
63,2.050586
64,1.990082
65,1.881018
66,1.953408
67,2.007268
68,1.989198
69,1.803055
70,2.031126
71,1.987023
72,1.992139
73,1.821709
74,1.964355
75,1.98866
76,2.00604
77,1.828026
78,1.985648
79,1.872851
80,2.133377
81,1.775335
82,2.012616
83,1.946655
84,2.053147
85,1.839831
86,1.945074
87,1.945576
88,2.001075
89,1.773906
90,1.965465
91,2.040864
92,1.964745
93,1.832506
94,1.991328
95,1.981789
96,1.948417
97,1.816818
98,1.969833
99,2.018804
100,1.98439
101,1.822443
102,1.960669
103,1.92487
104,2.06716
105,1.78803
106,1.966898
107,1.961348
108,2.028159
109,1.778412
110,1.971802
111,1.99496
112,1.989725
113,1.786328
114,1.951464
115,2.009297
116,1.979021
117,1.77114
118,1.999234
119,2.013285
120,1.998654
121,1.786269
122,1.97393
123,1.991015
124,1.982052
125,1.820434
126,1.952979
127,1.959381
128,2.047941
129,1.826711
130,1.920152
131,2.043476
132,1.940263
133,1.781004
134,2.014521
135,1.991425
136,1.989136
137,1.840331
138,1.915336
139,2.0454
140,1.994509
141,1.836182
142,1.917286
143,2.008233
144,1.98695
145,1.861328
146,1.98034
147,1.988913
148,1.99289
149,1.83016
150,1.925471
151,2.051031
152,1.981887
153,1.752983
154,2.010751
155,1.990209
156,1.998435
157,1.809305
158,1.993136
159,1.959154
160,2.025712
161,1.807085
162,1.9833
163,1.954334
164,2.032077
165,1.816942
166,1.979963
167,1.966521
168,2.028322
169,1.826554
170,1.966524
171,1.99472
172,1.956632
173,1.810253
174,1.950983
175,2.027393
176,1.992487
177,1.821969
178,1.96781
179,1.952129
180,2.046081
181,1.816115
182,1.964814
183,1.984807
184,2.017369
185,1.833447
186,1.984545
187,1.976421
188,2.025278
189,1.819052
190,1.916732
191,2.058744
192,2.004971
193,1.84851
194,1.972589
195,1.997339
196,1.909545
197,1.843362
198,1.970462
199,1.994732
200,2.000052
201,1.824849
202,1.994616
203,1.980521
204,2.000519
205,1.762535
206,1.957933
207,1.993825
208,1.994422
209,1.814613
210,1.976754
211,1.9955
212,1.99507
213,1.790717
214,1.985995
215,1.98651
216,2.002872
217,1.81149
218,1.97658
219,1.991916
220,2.001674
221,1.795142
222,1.989823
223,1.959785
224,2.02915
225,1.7659
226,1.931466
227,2.04175
228,1.968274
229,1.809464
230,1.976049
231,1.920194
232,2.067318
233,1.815001
234,1.961788
235,1.979037
236,2.025504
237,1.802553
238,1.965378
239,2.00991
240,1.993479
241,1.759971
242,2.043401
243,1.978663
244,2.007067
245,1.844201
246,1.991021
247,1.976731
248,1.962684
249,1.812854
250,2.372932
251,1.562181
252,2.05365
253,1.799782
254,1.953257
255,1.990774
256,2.001389
257,1.827956
258,1.984832
259,1.974015
260,1.972758
261,1.818406
262,1.973459
263,1.993005
264,1.997435
265,1.832074
266,1.964908
267,1.996956
268,1.989797
269,1.823725
270,1.987211
271,1.97589
272,1.993526
273,1.804074
274,1.974351
275,2.013901
276,1.979676
277,1.8326
278,1.959352
279,2.005575
280,2.010569
281,1.828661
282,1.963396
283,1.999429
284,1.994006
285,1.835453
286,1.972976
287,1.994824
288,1.993783
289,1.819286
290,1.984652
291,1.990844
292,1.981264
293,1.840439
294,1.948324
295,1.998216
296,1.998227
297,1.832225
298,1.955438
299,1.993704
300,2.001163
301,1.810995
302,1.964535
303,2.012341
304,1.981447
305,1.818738
306,1.976394
307,2.000135
308,1.998504
309,1.792044
310,1.97306
311,2.001532
312,1.987838
313,1.824502
314,1.949806
315,1.99327
316,2.00109
317,1.825047
318,1.964632
319,1.97794
320,1.999214
321,1.812515
322,1.955601
323,2.012816
324,1.988685
325,1.821883
326,1.964879
327,1.998764
328,1.998507
329,1.798589
330,1.996227
331,1.991084
332,1.985366
333,1.796797
334,1.988214
335,2.003092
336,1.991332
337,1.815929
338,1.97251
339,1.991096
340,1.991995
341,1.800679
342,1.965718
343,1.985123
344,2.013563
345,1.791873
346,1.961728
347,1.997544
348,2.003391
349,1.745045
350,1.950671
351,2.003461
352,1.992409
353,1.852421
354,1.937573
355,2.002387
356,1.984244
357,1.807243
358,1.976244
359,2.006293
360,1.986813
361,1.807058
362,1.966593
363,1.998803
364,2.011419
365,1.862098
366,1.95276
367,2.007263
368,1.984338
369,1.807952
370,1.988484
371,1.986045
372,1.997518
373,1.800758
374,1.974374
375,1.961149
376,2.057671
377,1.828255
378,1.953406
379,1.999401
380,1.992553
381,1.821869
382,1.967456
383,1.999023
384,1.994254
385,1.807041
386,2.008081
387,1.998693
388,1.975793
389,1.800673
390,1.96964
391,1.995485
392,2.010596
393,1.806959
394,1.96519
395,1.992529
396,2.000154
397,1.852405
398,1.974735
399,1.98206
400,2.001727
401,1.828633
402,1.961993
403,1.998268
404,1.994739
405,1.827019
406,1.970306
407,2.001841
408,1.990585
409,1.826143
410,1.964969
411,2.004632
412,1.997458
413,1.819023
414,1.973826
415,1.992837
416,1.997589
417,1.826398
