Measurement,Time
0,3.846385
1,3.893173
2,4.122672
3,3.970482
4,3.938205
5,3.980859
6,4.012498
7,3.997153
8,3.95492
9,3.938077
10,4.05937
11,3.980785
12,3.888059
13,3.96932
14,3.999725
15,3.867553
16,3.986195
17,3.943038
18,3.976126
19,4.003781
20,3.87385
21,4.055703
22,4.087697
23,3.9279
24,3.812523
25,3.941544
26,4.07614
27,3.989408
28,3.919209
29,3.879843
30,4.067722
31,3.947153
32,3.819935
33,3.999869
34,3.991773
35,3.908567
36,3.862187
37,4.06155
38,3.975474
39,3.919348
40,3.968996
41,3.98675
42,3.993883
43,3.993785
44,3.761156
45,3.992313
46,4.031871
47,3.994602
48,3.998228
49,3.985537
50,3.997281
51,3.977996
52,3.901668
53,3.992559
54,4.038435
55,3.974658
56,3.89918
57,3.998425
58,4.000798
59,3.973358
60,3.881954
61,4.008089
62,3.950567
63,3.983339
64,3.82848
65,4.000339
66,4.057296
67,3.943113
68,3.779719
69,4.181127
70,4.006582
71,3.968717
72,3.907756
73,3.988967
74,3.982243
75,3.984492
76,3.83132
77,4.021527
78,4.05177
79,3.958899
80,3.93667
81,3.961762
82,4.011896
83,4.012951
84,3.862192
85,3.988342
86,3.855134
87,4.070723
88,3.951979
89,3.957397
90,3.836145
91,3.924497
92,3.918109
93,3.992837
94,3.988319
95,3.868561
96,3.876673
97,3.979878
98,3.845017
99,3.841314
100,3.848043
101,3.829549
102,3.928827
103,3.877143
104,3.921292
105,3.884356
106,3.808958
107,4.02271
108,3.848933
109,3.981724
110,3.861608
111,3.97103
112,3.848831
113,3.988676
114,3.866427
115,3.985713
116,3.823219
117,3.918172
118,4.04708
119,3.965014
120,3.939659
121,3.896065
122,4.146414
123,3.89832
124,3.901157
125,3.998302
126,3.98741
127,3.966278
128,3.860083
129,3.978974
130,4.074109
131,3.961061
132,3.898989
133,3.964746
134,4.001156
135,3.957523
136,3.903468
137,4.001736
138,3.816082
139,4.058452
140,3.821784
141,4.005646
142,4.034216
143,3.97767
144,3.888555
145,3.992818
146,4.051906
147,3.909767
148,4.017271
149,3.958784
150,3.669487
151,4.27897
152,3.955663
153,3.911529
154,3.96267
155,4.076204
156,3.804846
157,4.03197
158,3.959067
159,3.948312
160,3.92617
161,3.990284
162,4.01424
163,3.834051
164,3.765344
165,3.684571
166,3.996054
167,4.029753
168,3.896758
169,4.021411
170,3.857338
171,3.97863
172,3.920163
173,3.849756
174,3.949924
175,4.101129
176,3.924054
177,3.909003
178,3.975514
179,4.019284
180,3.879934
181,3.995073
182,3.963331
183,4.07483
184,3.869751
185,3.946219
186,4.029227
187,4.001073
188,3.915948
189,3.941863
190,3.783911
191,4.068947
192,3.731178
193,3.893195
194,4.078708
195,3.984674
196,4.01373
197,3.941613
198,3.928515
199,3.979941
200,3.88703
201,3.84827
202,3.981443
203,4.025464
204,3.937928
205,3.848459
206,3.936138
207,4.065694
208,3.859247
209,3.850072
210,4.003028
211,4.00328
212,3.974675
213,3.881622
214,3.996958
215,4.00842
216,3.925903
217,3.920388
218,3.925145
219,4.044892
220,3.950171
221,3.961003
222,3.897431
223,4.077155
224,3.914224
225,3.996616
226,3.99116
