Measurement,Time
0,19.98831
1,19.905711
2,19.969164
3,19.961395
4,19.771932
5,21.821346
6,18.433486
7,19.812127
8,19.842052
9,21.726209
10,18.24734
11,20.014699
12,20.013
13,19.930315
14,19.970903
15,19.96744
16,19.901738
17,20.002306
18,20.053195
19,19.93074
20,19.891999
21,20.094534
22,20.179044
23,19.971532
24,19.780143
25,20.707971
26,19.197337
27,20.055457
28,20.070387
29,22.186993
30,17.765987
31,19.989168
32,19.902357
33,21.623541
34,21.023301
35,17.344587
36,19.274644
37,20.004164
38,22.787896
39,17.260603
40,18.958275
41,20.16867
42,19.887699
43,19.916333
44,19.968994
45,19.979204
46,20.029853
47,19.967199
48,19.94214
49,19.993975
50,20.022643
51,20.018886
52,19.890561
53,19.99211
54,20.040118
55,19.976684
56,19.950513
57,20.005382
58,19.963093
59,20.041385
60,19.926893
61,19.967599
62,20.133798
63,19.929718
64,19.906387
65,19.937824
66,20.132298
67,20.005914
68,19.884431
69,19.981863
70,20.175239
71,19.899127
72,19.961942
73,19.992373
74,19.93806
75,20.046992
76,19.897638
77,21.190032
78,19.878763
79,18.925973
80,19.891245
81,20.85831
82,21.188367
83,17.971969
84,20.021654
85,19.976787
86,20.016223
87,19.967981
88,19.965653
89,20.937315
90,19.05871
91,20.023547
92,18.909298
93,20.013081
94,19.885529
95,20.055704
96,19.836218
97,19.994163
98,19.999522
99,20.116363
100,19.896093
101,19.98814
102,19.912312
103,19.963292
104,19.799155
105,20.109857
106,20.000816
107,20.008558
108,20.005158
109,19.957632
110,20.22344
111,19.73693
112,18.906498
113,20.058138
114,19.884719
115,20.055942
116,19.859787
117,20.155391
118,20.525854
119,19.449213
120,18.910474
121,19.831581
122,20.143547
123,20.014548
124,19.854742
125,20.038016
126,20.059524
127,19.958237
128,19.99165
129,19.72978
130,20.259817
131,20.000328
132,20.001963
133,19.903786
134,20.009586
135,19.997006
136,19.999094
137,21.238539
138,18.700566
139,20.120341
140,19.938426
141,20.012638
142,19.944593
143,20.068616
144,19.948171
145,21.376626
146,18.531861
147,20.102844
148,18.981762
149,19.920783
150,20.19163
151,19.851784
152,20.006844
153,20.002704
154,19.612988
155,20.290303
156,19.968307
157,19.992803
158,20.004453
159,19.992257
160,19.918249
161,20.160011
162,20.812389
163,19.186781
164,18.869078
165,21.086606
166,18.872003
167,20.051537
168,19.945869
169,19.773589
170,20.131198
171,20.054595
172,18.965435
173,20.21763
174,19.755172
175,20.082845
176,20.014337
177,20.323025
178,19.675337
179,20.007609
180,19.857781
181,20.001674
182,19.994028
183,20.033808
184,19.967326
185,19.7133
186,20.088296
187,20.0345
188,19.867253
189,21.746435
190,18.23462
191,20.128093
192,19.94416
193,20.330991
194,19.649311
195,20.027488
196,19.86288
197,21.493693
198,18.346261
199,20.025022
200,19.863489
201,20.09519
202,19.956167
203,20.090522
204,19.806056
205,21.281636
206,18.808928
207,19.963521
208,20.057955
209,20.040748
210,20.063224
211,19.903435
212,19.940827
213,19.998759
214,20.028648
215,19.966489
216,19.940597
217,20.333427
218,19.686039
219,19.983119
220,20.026995
221,19.930045
222,20.154597
223,19.808817
224,19.929964
225,20.42922
226,19.548157
227,20.075535
228,19.836515
229,19.983947
230,20.086842
231,19.926384
232,19.959578
233,20.033346
234,19.89317
235,20.191575
236,18.885756
237,20.988162
238,19.208324
239,19.886567
240,19.924326
241,19.994235
242,19.978525
243,20.038338
244,19.928372
245,19.804561
246,21.339223
247,18.869066
248,18.841714
249,19.905972
250,20.134143
251,20.045154
252,19.908086
253,19.985617
254,20.081578
255,19.990821
256,20.058333
257,20.970137
258,19.025171
259,20.238281
260,20.031184
261,19.968752
262,19.99849
263,19.96849
264,19.909669
265,19.926942
266,20.016958
267,20.121194
268,19.956583
269,19.914971
270,20.074878
271,20.123314
272,20.07061
273,21.231698
274,18.696875
275,19.998026
276,19.775013
277,20.075366
278,20.016902
279,19.98064
280,19.891849
281,19.961236
282,19.978011
283,20.041904
284,19.918359
285,20.987342
286,19.037344
287,20.064399
288,19.894599
289,21.530076
290,21.332202
291,17.263152
292,20.003021
293,21.184002
294,20.935855
295,17.915364
296,19.869973
297,19.991851
298,20.070951
299,19.982242
300,20.052358
301,20.477306
302,20.083337
303,19.37233
304,20.032716
305,20.45843
306,20.395641
307,19.088547
308,18.901764
309,20.456198
310,20.292777
311,19.285229
312,19.831234
313,19.900134
314,20.093983
315,19.943107
316,19.925469
317,21.591633
318,20.767897
319,17.793508
320,19.949598
321,20.305228
322,19.574604
323,19.960051
324,19.990576
325,21.005406
326,18.928398
327,19.989525
328,19.94776
329,21.217392
330,18.751844
331,20.005487
332,20.033889
333,20.467323
334,19.521636
335,20.036238
336,19.930763
337,20.443091
338,19.533266
339,19.965662
340,19.868883
341,20.086579
342,20.638886
343,19.26831
344,20.079944
345,21.320301
346,18.67113
347,19.959713
348,20.013755
349,20.438867
350,19.555218
351,19.989647
352,19.977864
353,20.447686
354,19.521812
355,19.963254
356,19.863518
357,20.31678
358,19.590404
359,20.006719
360,19.986721
361,20.422737
362,20.571742
363,18.886997
364,20.003671
365,20.531838
366,20.247777
367,19.223019
368,20.040872
369,20.198698
370,19.677184
371,20.065939
372,19.844127
373,20.375739
374,21.152446
375,18.381674
376,19.98652
377,20.419881
378,20.851265
379,18.74355
380,19.991807
381,21.055638
382,18.981528
383,20.041854
384,20.058159
385,19.913212
386,19.962252
387,19.978519
388,19.953518
389,20.079267
390,20.053317
391,19.837869
392,20.002985
393,20.473513
394,19.784495
395,19.678658
396,20.005577
397,20.61728
398,19.284714
399,19.990614
400,20.024886
401,21.165817
402,18.654
403,20.030268
404,20.147865
405,20.439278
406,19.520008
407,19.900129
408,19.965172
409,20.106701
410,19.950322
411,19.880984
412,20.03261
413,21.249835
414,18.55553
415,20.06123
416,19.853557
417,19.982153
418,19.95936
419,20.066452
420,20.020196
421,19.993597
422,19.944007
423,20.057354
424,19.975111
425,20.124156
426,19.860228
427,20.021216
428,19.999654
429,20.11972
430,19.747465
431,19.982795
432,20.025666
433,20.31184
434,19.590624
435,20.005575
436,20.112191
437,19.873978
438,19.82042
439,20.221744
440,20.015753
441,20.040884
442,19.940867
443,19.928699
444,19.872458
445,21.041363
446,19.020282
447,19.991043
448,19.899509
449,26.19034
450,13.956912
451,19.982527
452,20.04026
453,19.991673
454,19.973737
455,19.948843
456,20.075482
457,21.1504
458,18.834369
459,20.013985
460,19.899593
461,20.101058
462,20.005821
463,19.955504
464,19.952624
465,19.970013
466,19.942634
467,20.061331
468,18.924514
469,20.317658
470,19.781803
471,19.92546
472,19.946219
473,20.617529
474,20.292871
475,19.050248
476,20.069012
477,20.400884
478,20.224303
479,19.329232
480,19.941938
481,19.97567
482,20.103816
483,19.943413
484,19.960598
485,19.890415
486,21.255522
487,18.802851
488,19.913536
489,19.870572
490,21.126409
491,18.86342
492,19.975409
493,20.482338
494,19.531777
495,19.940779
496,19.928129
497,20.391254
498,19.66647
499,19.915636
500,19.959762
