Measurement,Time
0,15.846589
1,15.97873
2,16.267175
3,15.727772
4,15.941177
5,16.032652
6,17.462717
7,14.618266
8,15.875889
9,15.97516
10,16.11618
11,15.856208
12,15.973659
13,16.013336
14,18.100296
15,13.921847
16,15.840817
17,16.048719
18,15.875079
19,16.052932
20,23.008366
21,8.771982
22,16.112138
23,16.018201
24,15.887307
25,16.054793
26,16.801621
27,15.254102
28,15.834544
29,15.978402
30,16.011209
31,15.941478
32,15.820049
33,16.081684
34,15.894895
35,15.947134
36,15.857857
37,16.089463
38,15.909248
39,16.066077
40,15.862963
41,16.168124
42,15.856164
43,16.091458
44,15.945337
45,16.473907
46,15.557717
47,15.978121
48,15.994821
49,16.509785
50,15.483178
51,16.093226
52,15.810528
53,17.530719
54,14.47222
55,16.082049
56,16.000414
57,17.346062
58,14.683008
59,16.013505
60,15.845145
61,15.979093
62,16.0991
63,15.934337
64,15.864983
65,16.003356
66,16.018579
67,16.060017
68,16.034056
69,16.398322
70,15.567868
71,15.929275
72,15.923753
73,17.684749
74,14.45334
75,15.970659
76,16.072671
77,15.969065
78,16.060647
79,15.930276
80,15.876414
81,16.119585
82,15.817658
83,15.986193
84,15.967336
85,15.959193
86,16.09237
87,15.88891
88,15.953287
89,16.07632
90,16.835448
91,15.29566
92,15.875177
93,16.028979
94,16.072951
95,16.003832
96,15.959573
97,16.523064
98,15.455138
99,16.002588
100,15.979233
101,16.351352
102,15.681952
103,15.947325
104,15.866647
105,16.41027
106,15.607976
107,16.000001
108,15.840511
109,18.522287
110,13.565151
111,15.981023
112,15.867637
113,16.024573
114,15.979962
115,16.019893
116,15.906326
117,16.080545
118,15.986965
119,15.964529
120,15.907185
121,17.295787
122,14.713648
123,15.995453
124,15.889075
125,16.019305
126,15.992999
127,15.982893
128,15.952309
129,16.878319
130,15.173077
131,16.007509
132,15.839224
133,15.936758
134,16.05015
135,16.072237
136,16.055695
137,16.000348
138,16.02583
139,15.79991
140,15.94804
141,16.289416
142,15.778841
143,16.016687
144,16.085414
145,16.373028
146,15.685242
147,15.97447
148,15.914808
149,17.435614
150,14.581098
151,15.991407
152,16.053336
153,15.874485
154,16.067496
155,16.030093
156,15.833772
157,16.098636
158,16.023571
159,15.84904
160,15.872074
161,16.008707
162,16.11358
163,15.953761
164,15.951677
165,15.961172
166,16.000582
167,15.976066
168,16.008829
169,17.135204
170,14.814645
171,15.963615
172,16.010061
173,16.12669
174,15.909416
175,15.935911
176,15.897412
177,16.189082
178,15.899764
179,15.871812
180,15.880895
181,16.036754
182,15.960604
183,16.02171
184,15.899685
185,16.043119
186,16.058507
187,15.875228
188,15.848907
189,15.955768
190,16.05323
191,16.077776
192,16.026176
193,17.782228
194,14.136434
195,16.079337
196,15.960828
197,16.052494
198,15.989922
199,15.953722
200,15.943124
201,16.472809
202,15.592922
203,16.10621
204,15.989002
205,15.976163
206,16.049975
207,15.989281
208,15.847612
209,16.098204
210,15.879081
211,16.124209
212,15.895796
213,16.028679
214,16.025866
215,16.038448
216,15.985318
217,16.049278
218,15.949012
219,15.925164
220,15.959753
221,15.973341
222,15.994862
223,16.040629
224,15.952533
225,16.104791
226,15.938028
227,15.94727
228,15.823838
229,16.11228
230,15.97728
231,16.143812
232,15.984883
233,16.021448
234,15.873655
235,15.995203
236,15.966289
237,16.029981
238,15.972571
239,15.973582
240,16.044952
241,16.009807
242,15.919004
243,16.056924
244,15.962804
245,17.325697
