Measurement,Time
0,0.001429
1,1.173129
2,2.094293
3,1.856875
4,1.991628
5,1.982385
6,1.998939
7,1.878488
8,1.974633
9,2.00162
10,1.99095
11,1.870434
12,1.980413
13,1.990786
14,1.990437
15,1.857195
16,1.988615
17,1.997199
18,1.994119
19,1.87125
20,1.980714
21,1.992263
22,2.002484
23,1.891672
24,1.9794
25,1.996629
26,1.997647
27,1.893725
28,1.981894
29,1.989586
30,1.99486
31,1.878442
32,1.988446
33,1.986156
34,1.996154
35,1.87061
36,1.983175
37,1.995475
38,1.996127
39,1.869367
40,1.985093
41,1.995896
42,1.993304
43,1.885378
44,1.989953
45,1.987309
46,1.995869
47,1.874761
48,1.984863
49,1.991764
50,1.992718
51,1.881858
52,1.985714
53,1.989912
54,1.996527
55,1.887328
56,1.9826
57,1.996935
58,2.001774
59,1.860237
60,1.986206
61,1.989619
62,1.996953
63,1.889053
64,1.982346
65,2.000155
66,1.996304
67,1.870361
68,1.985098
69,1.993424
70,1.999938
71,1.852217
72,1.99458
73,2.004818
74,1.99301
75,1.883589
76,1.981391
77,1.992341
78,1.970757
79,1.891611
80,1.971436
81,1.996284
82,2.002359
83,1.889518
84,1.977734
85,1.991612
86,1.999288
87,1.885633
88,1.972455
89,1.995551
90,1.996097
91,1.881991
92,1.9681
93,1.947415
94,2.039885
95,1.896572
96,1.967966
97,1.995714
98,1.998331
99,1.87877
100,1.975011
101,1.985389
102,1.999379
103,1.862178
104,1.985402
105,1.996912
106,1.998361
107,1.878197
108,1.970859
109,1.989165
110,1.995876
111,1.882145
112,1.971508
113,1.992203
114,1.993025
115,1.893661
116,1.975556
117,1.99955
118,1.990336
119,2.872409
120,1.969875
121,1.997205
122,2.000784
123,1.89299
124,1.973228
125,1.995417
126,1.997215
127,1.876662
128,1.970401
129,1.992392
130,1.978335
131,1.86051
132,1.982749
133,1.996738
134,1.99164
135,1.877373
136,1.971924
137,2.002826
138,1.99012
139,1.865518
140,1.899659
141,2.058319
142,2.024585
143,1.873103
144,1.977662
145,1.996797
146,1.980537
147,1.890632
148,1.981257
149,1.994396
150,1.99316
151,1.862789
152,2.03426
153,2.027178
154,2.024286
155,1.890436
156,1.967428
157,1.988358
158,1.995379
159,1.876708
160,1.976943
161,1.991681
162,1.998291
163,1.898227
164,1.977723
165,1.98298
166,1.983814
167,1.884947
168,1.971985
169,2.00288
170,1.996529
171,1.87265
172,1.96645
173,1.979507
174,2.012513
175,1.917301
176,1.935644
177,1.997844
178,1.999728
179,1.836421
180,1.905923
181,2.008192
182,1.973954
183,1.854299
184,1.972501
185,2.003303
186,1.98946
187,1.883505
188,1.975264
189,2.001337
190,1.9957
191,1.89344
192,1.967229
193,1.994679
194,1.996771
195,1.877596
196,1.977219
197,1.997417
198,1.987763
