Measurement,Time
0,19.916678
1,20.97361
2,20.077791
3,20.918765
4,19.922738
5,20.981108
6,20.01695
7,21.109158
8,19.875391
9,20.045272
10,21.02996
11,19.852023
12,19.891094
13,20.015524
14,21.214424
15,19.861949
16,19.901065
17,20.030597
18,21.034235
19,20.291227
20,19.915103
21,20.970296
22,20.217096
23,20.783365
24,19.912032
25,21.020514
26,20.015543
27,21.045632
28,19.910041
29,19.928201
30,21.023118
31,20.991629
32,19.866698
33,21.069693
34,19.914117
35,21.133976
36,19.911309
37,20.038926
38,21.049157
39,20.228144
40,19.834766
41,20.064627
42,20.995684
43,20.280507
44,19.906151
45,21.029026
46,20.065521
47,20.994379
48,20.898159
49,20.006566
50,21.026969
51,20.248135
52,19.903479
53,21.028741
54,20.968472
55,20.09617
56,19.877365
57,20.054579
58,20.95384
59,20.275196
60,19.952871
61,21.039631
62,19.980363
63,21.069575
64,19.908592
65,19.991995
66,21.209435
67,19.79678
68,19.920246
69,19.978471
70,21.204283
71,19.820473
72,19.920084
73,20.95607
74,20.069025
75,20.938339
76,19.908362
77,21.752672
78,19.323932
79,20.972394
80,19.881074
81,21.027568
82,20.015765
83,21.482894
84,19.917996
85,20.038969
86,20.954791
87,21.120317
88,19.922402
89,20.028381
90,21.004284
91,19.962224
92,19.850661
93,20.995291
94,20.002708
95,21.023426
96,20.911018
97,19.943323
98,21.051016
99,20.012155
100,19.880547
101,21.003625
102,19.980772
103,20.963523
104,19.881365
105,19.966948
106,21.259063
107,19.792529
108,19.910036
109,19.936035
110,21.108421
111,19.95782
112,19.905374
113,21.02358
114,19.988302
115,20.961928
116,19.889747
117,20.9615
118,20.031505
119,21.041106
120,20.024633
121,20.977307
122,19.971604
123,20.963346
124,19.936329
125,19.981864
126,21.001558
127,20.023297
128,19.916683
129,21.047776
130,19.937864
131,21.017953
132,20.923596
133,20.062132
134,20.971917
135,19.956185
136,19.902673
137,21.009429
138,21.03674
139,19.9797
140,19.9105
141,19.976747
142,21.010654
143,20.009427
144,19.899026
145,20.994248
146,20.054
147,20.950476
148,19.92063
149,20.045699
150,20.925457
151,20.01084
152,19.866849
153,20.018915
154,20.994486
155,21.038592
156,19.918873
157,20.982982
158,21.040188
159,19.997799
160,19.891688
161,20.970549
162,20.032797
163,21.440802
164,19.889364
165,19.987036
166,21.232112
167,19.775791
168,19.916406
169,20.97675
170,20.134029
171,20.890951
172,19.907561
173,21.066766
174,19.942567
175,20.967415
176,19.891896
177,21.002685
178,19.981804
179,21.002475
180,19.901521
181,19.981396
182,21.059811
183,20.945249
184,19.895451
185,21.048001
186,20.95971
187,19.979977
188,20.891825
189,20.039548
190,20.991111
191,19.970673
192,19.883834
193,19.973627
194,21.100968
195,20.930873
196,19.888299
197,21.087281
198,19.90694
199,20.983764
200,19.914818
201,20.981612
202,21.042478
203,19.966853
204,19.76708
205,21.009362
206,19.957299
207,21.066251
208,19.891498
209,20.996539
210,20.109593
211,20.894296
212,19.9232
213,20.980903
214,19.972723
215,20.987632
216,19.870202
217,20.014465
218,21.003175
219,20.107945
220,19.895066
221,20.048588
222,20.949864
223,19.973104
224,19.901021
225,21.05301
226,19.946939
227,21.076181
228,19.892792
229,21.042547
230,19.897573
231,21.108207
232,20.905675
233,20.038394
234,21.040528
235,19.840474
236,38.361443
237,2.526044
238,20.036463
239,20.988714
240,19.905885
241,20.974791
242,20.123764
243,20.88413
244,19.931831
245,20.049804
246,20.96955
247,19.961099
248,20.89807
249,20.038136
250,20.957901
251,19.997755
252,19.85955
253,21.033201
254,20.00009
255,20.97366
256,19.84563
257,21.055368
258,19.983943
259,21.000903
260,19.896548
261,20.958753
262,21.080431
263,19.9719
264,20.9127
265,19.97996
266,21.015084
267,20.018145
268,19.924549
269,21.0497
270,19.88555
271,21.13839
272,19.870847
273,21.007853
274,20.972854
275,20.145589
276,19.914064
277,19.970257
278,20.947309
279,20.085838
280,19.881602
281,21.080167
282,19.958884
283,20.956086
284,19.887189
285,20.034098
286,21.018949
287,19.959373
288,19.917414
289,21.040341
290,19.973647
291,20.98207
292,20.904081
293,19.979227
294,21.016585
295,20.014508
296,19.942082
297,21.038401
298,20.001478
299,21.027225
300,19.93469
301,20.988205
302,20.03942
303,20.961594
304,19.881646
305,21.061781
306,20.005131
307,20.96917
308,19.919107
309,20.030826
310,20.950204
311,21.782777
312,20.905335
313,19.986785
314,21.197669
315,19.826064
316,19.925954
317,19.873903
318,21.146969
319,19.947277
320,19.924026
321,19.968695
322,20.992783
323,20.033233
324,19.921357
325,20.980653
326,20.207795
327,20.814025
328,19.900606
329,19.980982
330,21.138279
331,19.862493
332,19.897137
333,20.972851
334,20.009116
335,21.008875
336,19.906791
337,20.984138
338,20.102539
339,20.913335
340,19.903698
341,21.027254
342,20.028377
343,20.937219
344,19.915756
345,20.991305
346,19.98058
347,21.427475
348,19.904998
349,20.976566
350,20.010327
351,21.010243
352,19.907291
353,19.980765
354,21.106289
355,19.913919
356,20.901241
357,20.029829
358,20.996892
359,19.977609
360,20.909632
361,20.012126
362,21.007628
363,19.965661
364,19.903206
365,20.992198
366,20.008701
367,21.008943
368,20.905958
369,19.987262
370,21.019233
371,20.001726
372,19.912722
373,20.90952
374,20.124266
375,20.966234
376,20.892741
